   2.0000000000000000E-003   299.99998206470678        2.8383326396446019E-011   1.0798071690287483       -1.3729501233683550E-006
   3.0000000000000001E-003   299.99994757356063        1.0542377811437979E-010   1.0798070677767786       -4.0132552499017038E-006
   4.0000000000000001E-003   299.99989848286941        2.5544990384755633E-010   1.0798069236664858       -7.7711591188744933E-006
   5.0000000000000001E-003   299.99983513871587        5.0279023547944183E-010   1.0798067377138281       -1.2620169286492455E-005
   6.0000000000000001E-003   299.99975764324273        8.7177328251014162E-010   1.0798065102186554       -1.8552466883647867E-005
   7.0000000000000001E-003   299.99966603493368        1.3867275264739784E-009   1.0798062412939400       -2.5565106341218780E-005
   8.0000000000000002E-003   299.99956033050483        2.0719814153546983E-009   1.0798059309887544       -3.3656808511750569E-005
   8.9999999999999993E-003   299.99944053788971        2.9518633579994073E-009   1.0798055793263883       -4.2826966478060058E-005
   1.0000000000000000E-002   299.99930666106133        4.0507017185317584E-009   1.0798051863185059       -5.3075276809977368E-005
   1.0999999999999999E-002   299.99915870206200        5.3928248107646566E-009   1.0798047519711025       -6.4401583699691400E-005
   1.2000000000000000E-002   299.99899666193841        7.0025608926126631E-009   1.0798042762872515       -7.6805807566415751E-005
   1.2999999999999999E-002   299.99882054120405        8.9042381605041520E-009   1.0798037592684608       -9.0287909983999270E-005
   1.4000000000000000E-002   299.99863034007996        1.1122184743793347E-008   1.0798032009153804       -1.0484787480891100E-004
   1.4999999999999999E-002   299.99842605862563        1.3680728699172224E-008   1.0798026012281852       -1.2048569834632872E-004
   1.6000000000000000E-002   299.99820769681219        1.6604198005082354E-008   1.0798019602067919       -1.3720138377948388E-004
   1.7000000000000001E-002   299.99797525456444        1.9916920556126691E-008   1.0798012778509798       -1.5499493775905648E-004
   1.7999999999999999E-002   299.99772873178568        2.3643224157481332E-008   1.0798005541604667       -1.7386636875471595E-004
   1.9000000000000000E-002   299.99746812837117        2.7807436519307280E-008   1.0797997891349453       -1.9381568591825271E-004
   2.0000000000000000E-002   299.99719344421760        3.2433885251162121E-008   1.0797989827741137       -2.1484289840145721E-004
   2.1000000000000001E-002   299.99690467922687        3.7546897856411808E-008   1.0797981350776851       -2.3694801484452910E-004
   2.1999999999999999E-002   299.99660183330968        4.3170801726642370E-008   1.0797972460453986       -2.6013104360345096E-004
   2.3000000000000000E-002   299.99628490638628        4.9329924136071741E-008   1.0797963156770209       -2.8439199172680674E-004
   2.4000000000000000E-002   299.99595389838692        5.6048592235961485E-008   1.0797953439723487       -3.0973086654739745E-004
   2.5000000000000001E-002   299.99560880925247        6.3351133049028625E-008   1.0797943309312097       -3.3614767380640842E-004
   2.5999999999999999E-002   299.99524963893361        7.1261873463857552E-008   1.0797932765534604       -3.6364241873343417E-004
   2.7000000000000000E-002   299.99487638739140        7.9805140229311774E-008   1.0797921808389881       -3.9221510621700872E-004
   2.8000000000000001E-002   299.99448905459525        8.9005259948946147E-008   1.0797910437877041       -4.2186574006564115E-004
   2.9000000000000001E-002   299.99408764052384        9.8886559075418430E-008   1.0797898653995472       -4.5259432380362341E-004
   2.9999999999999999E-002   299.99367214516417        1.0947336390490169E-007   1.0797886456744816       -4.8440086010259620E-004
   3.1000000000000000E-002   299.99324256851088        1.2079000057149621E-007   1.0797873846124924       -5.1728535134998310E-004
   3.2000000000000001E-002   299.99279891056619        1.3286079504164161E-007   1.0797860822135881       -5.5124779942161695E-004
   3.3000000000000002E-002   299.99234117133881        1.4571007310852925E-007   1.0797847384777961       -5.8628820556805294E-004
   3.4000000000000002E-002   299.99186935084464        1.5936216038651415E-007   1.0797833534051646       -6.2240657058509896E-004
   3.5000000000000003E-002   299.99138344910506        1.7384138230552771E-007   1.0797819269957585       -6.5960289509803260E-004
   3.5999999999999997E-002   299.99088346614786        1.8917206410548971E-007   1.0797804592496614       -6.9787717910685387E-004
   3.6999999999999998E-002   299.99036940200602        2.0537853083072115E-007   1.0797789501669712       -7.3722942232734567E-004
   3.7999999999999999E-002   299.98984125671797        2.2248510732435635E-007   1.0797773997478040       -7.7765962441844749E-004
   3.9000000000000000E-002   299.98929903032752        2.4051611822275620E-007   1.0797758079922892       -8.1916778395907386E-004
   4.0000000000000001E-002   299.98874272288265        2.5949588794992021E-007   1.0797741749005705       -8.6175390015341691E-004
   4.1000000000000002E-002   299.98817233443611        2.7944874071189944E-007   1.0797725004728049       -9.0541797123933065E-004
   4.2000000000000003E-002   299.98758786504527        3.0039900049120996E-007   1.0797707847091629       -9.5015999545466912E-004
   4.2999999999999997E-002   299.98698931477156        3.2237099104124504E-007   1.0797690276098271       -9.9597997086675605E-004
   4.3999999999999997E-002   299.98637668368082        3.4538903588068842E-007   1.0797672291749931       -1.0428778951450113E-003
   4.4999999999999998E-002   299.98574997184221        3.6947745828792719E-007   1.0797653894048667       -1.0908537656746375E-003
   4.5999999999999999E-002   299.98510917932953        3.9466058129546585E-007   1.0797635082996664       -1.1399075796703073E-003
   4.7000000000000000E-002   299.98445430621939        4.2096272768433880E-007   1.0797615858596201       -1.1900393341761628E-003
   4.8000000000000001E-002   299.98378535259258        4.4840821997852409E-007   1.0797596220849668       -1.2412490259521292E-003
   4.9000000000000002E-002   299.98310231853350        4.7702138043935662E-007   1.0797576169759580       -1.2935366517012881E-003
   5.0000000000000003E-002   299.98240520412952        5.0682653105994204E-007   1.0797555705328516       -1.3469022076719739E-003
   5.0999999999999997E-002   299.98169400947148        5.3784799355957070E-007   1.0797534827559179       -1.4013456901693644E-003
